k,sender,branch,t_ms,q_kb,q_tau0_kb,q_tau0_tau_star_kb,q_thresh_kb,r_ms,rhat_ms,theta_ms,sigma,g,g_target,R_gbps,dR_gbps_per_s,dg_per_s
166,S,AI,1.66,16216.51001,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.055333333,33.333333333,0.0
167,S,AI,1.67,16314.233805,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.055666667,33.333333333,0.0
168,S,AI,1.68,16411.958008,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.056,33.333333333,0.0
169,S,AI,1.69,16509.682617,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.056333333,33.333333333,0.0
170,S,AI,1.7,16607.407633,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.056666667,33.333333333,0.0
171,S,AI,1.71,16705.133057,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.057,33.333333333,0.0
172,S,AI,1.72,16802.858887,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.057333333,33.333333333,0.0
173,S,AI,1.73,16900.585124,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.057666667,33.333333333,0.0
174,S,AI,1.74,16998.311768,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.058,33.333333333,0.0
175,S,AI,1.75,17096.038818,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.058333333,33.333333333,0.0
176,S,AI,1.76,17193.766276,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.058666667,33.333333333,0.0
177,S,AI,1.77,17291.494141,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.059,33.333333333,0.0
178,S,AI,1.78,17389.222412,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.059333333,33.333333333,0.0
179,S,AI,1.79,17486.95109,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.059666667,33.333333333,0.0
180,S,AI,1.8,17584.680176,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.06,33.333333333,0.0
181,S,AI,1.81,17682.409668,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.060333333,33.333333333,0.0
182,S,AI,1.82,17780.139567,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.060666667,33.333333333,0.0
183,S,AI,1.83,17877.869873,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.061,33.333333333,0.0
184,S,AI,1.84,17975.600586,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.061333333,33.333333333,0.0
185,S,AI,1.85,18073.331706,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.061666667,33.333333333,0.0
186,S,AI,1.86,18171.063232,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.062,33.333333333,0.0
187,S,AI,1.87,18268.795166,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.062333333,33.333333333,0.0
188,S,AI,1.88,18366.527507,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.062666667,33.333333333,0.0
189,S,AI,1.89,18464.260254,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.063,33.333333333,0.0
190,S,AI,1.9,18561.993408,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.063333333,33.333333333,0.0
191,S,AI,1.91,18659.726969,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.063666667,33.333333333,0.0
192,S,AI,1.92,18757.460937,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.064,33.333333333,0.0
